group,team,points
A,Iceland,1870.86
A,Norway,1851.5
A,Switzerland,1739.82
A,Finland,1725.44
B,Spain,2028.65
B,Italy,1872.45
B,Belgium,1790.73
B,Portugal,1762.35
C,Germany,2012.29
C,Sweden,1991.27
C,Denmark,1896.54
C,Poland,1697.07
D,England,2004.52
D,Netherlands,1929.09
D,France,1917.58
D,Wales,1674.35
